City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
417,Sape,BR,74.57,overcast clouds,-7.0964,-35.2328,Caserna
418,Mogadishu,SO,81.81,light rain,2.0371,45.3438,Hotel Juba
421,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
424,La Mana,EC,75.97,broken clouds,-0.9333,-79.2167,Hotel Somagg
425,Port-Gentil,GA,80.28,overcast clouds,-0.7193,8.7815,Fengshui Residence
426,Lobito,AO,76.89,few clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
429,Werota,ET,71.31,clear sky,11.9167,37.7,Yina Hotel
431,Damghan,IR,71.64,overcast clouds,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
432,Tibu,CO,77.4,broken clouds,8.639,-72.7358,Hotel Yuliana's
433,Yellandu,IN,80.37,scattered clouds,17.6,80.3333,Satyanarayana Chekuri
435,Garowe,SO,77.43,clear sky,8.4054,48.4845,Curubo Hotel
437,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
440,Hobyo,SO,83.61,broken clouds,5.3505,48.5268,Iftin hotel hobyo
444,Cabinda,AO,75.02,very heavy rain,-5.55,12.2,Hotel Maiombe
445,Labrea,BR,75.85,moderate rain,-7.2586,-64.7981,Hotel Novo Horizonte
446,Boffa,GN,78.51,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
450,Hambantota,LK,80.4,scattered clouds,6.1241,81.1185,Bungalow 63
453,Gombe,NG,82.27,overcast clouds,10.2897,11.1673,Custodian Hotel Gombe
455,Solano,US,81.19,few clouds,38.2333,-121.9511,Westwind Inn
456,Charlestown,AU,73.02,moderate rain,-32.95,151.6667,Panorama Motor Inn Hotel
460,Abu Dhabi,AE,82.42,clear sky,24.4667,54.3667,Beach Rotana
461,Monte Alegre,BR,75.31,moderate rain,-2.0078,-54.0692,Hotel Shekinah
466,Trairi,BR,76.66,overcast clouds,-3.2778,-39.2689,janelas do mar
469,Mozarlandia,BR,76.05,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
470,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
478,Campina Verde,BR,76.17,scattered clouds,-19.5356,-49.4864,Hotel Lino
482,Isabela,PH,80.65,overcast clouds,6.7085,121.9711,Isawad Resort
485,Owando,CG,70.52,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
486,Nisia Floresta,BR,79.18,light rain,-6.0911,-35.2086,Rancho Crepusculo
489,Sotouboua,TG,73.44,light rain,8.5667,0.9833,Auberge Médina
494,Maues,BR,74.59,moderate rain,-3.3836,-57.7186,Hotel Miramar
499,Saint-Joseph,RE,73.78,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
501,Puri,IN,82.92,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
502,Kingston,JM,79.75,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
503,Jaciara,BR,76.05,scattered clouds,-15.9653,-54.9683,Taba Hotel
507,Luanda,AO,76.28,light rain,-8.8368,13.2343,EPIC SANA Luanda
508,Mormugao,IN,83.46,few clouds,15.4,73.8,Coconut Creek Resort
520,Road Town,VG,78.89,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
521,Tanda,IN,84.04,few clouds,26.55,82.65,MUMTAZ GANJ TANDA
524,Umm Lajj,SA,83.8,clear sky,25.0213,37.2685,Moon light Furnished Units
525,Salinopolis,BR,78.8,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
535,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
536,Kalinagar,IN,79.16,clear sky,28.6167,80.1,Parampara resort
537,Bonthe,SL,81.5,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
538,Kattivakkam,IN,84.29,scattered clouds,13.2167,80.3167,Euronova Freezer
542,Monte Aprazivel,BR,81.25,clear sky,-20.7725,-49.7142,Torres Palace Hotel
544,Mattru,SL,76.21,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
545,Pipri,IN,82.98,scattered clouds,19.8,75.5333,Sukhana River nilu and rushi home
551,Lodwar,KE,82.83,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
556,Eha Amufu,NG,74.88,overcast clouds,6.6592,7.7596,Eden Resort
557,Ubatuba,BR,73.78,light rain,-23.4339,-45.0711,Hotel Coquille
558,Itarema,BR,76.93,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
559,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
565,Shelbyville,US,74.12,clear sky,35.4834,-86.4603,Best Western Shelbyville Inn And Suites Celebration Inn
568,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
572,Shahpura,IN,81.81,few clouds,27.3833,75.9667,Shahpura Haveli
578,Gasa,PS,80.89,scattered clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
579,Dwarka,IN,83.34,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
