City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
164,Sarrebourg,FR,48.7333,7.05,56.01,81,100,2.68,light rain
165,Tucuman,AR,-26.8241,-65.2226,55.4,94,100,0.0,overcast clouds
166,Gorahun,SL,7.4661,-11.2375,73.62,91,96,0.78,overcast clouds
167,Puerto Ayacucho,VE,5.6639,-67.6236,78.24,87,98,3.76,light rain
168,Queimadas,BR,-10.9783,-39.6264,71.49,87,96,8.28,overcast clouds
169,San Rafael,AR,-34.6177,-68.3301,53.01,31,0,6.87,clear sky
170,Cap Malheureux,MU,-19.9842,57.6142,73.47,76,3,1.01,clear sky
171,Comodoro Rivadavia,AR,-45.8667,-67.5,35.46,69,0,5.75,clear sky
172,Balkanabat,TM,39.5108,54.3671,74.34,46,99,5.59,overcast clouds
173,Bonavista,CA,48.6499,-53.1147,35.01,99,100,9.62,overcast clouds
174,Riyadh,SA,24.6877,46.7219,68.14,45,17,6.71,few clouds
175,Korla,CN,41.7597,86.1469,53.69,44,0,1.81,clear sky
176,Asfi,MA,32.2994,-9.2372,62.67,73,98,15.23,overcast clouds
177,Saint-Francois,FR,46.4154,3.9054,46.67,93,40,0.0,scattered clouds
178,Gazli,UZ,40.1333,63.45,72.28,28,13,8.68,few clouds
179,Port Blair,IN,11.6667,92.75,82.33,78,63,3.29,broken clouds
180,Diu,IN,20.7141,70.9822,80.38,69,0,10.65,clear sky
181,Portel,BR,-1.9356,-50.8211,74.71,96,95,3.27,overcast clouds
182,Lawrenceburg,US,38.0373,-84.8966,68.72,56,100,4.61,overcast clouds
183,Turukhansk,RU,65.8167,87.9833,17.11,84,100,14.38,overcast clouds
184,Puerto Ayora,EC,-0.7393,-90.3518,72.19,90,54,8.88,broken clouds
185,Nusaybin,TR,37.0778,41.2178,62.01,68,61,5.66,broken clouds
186,Shymkent,KZ,42.3,69.6,61.39,67,0,6.71,clear sky
187,Bayamo,CU,20.3792,-76.6433,74.35,73,64,9.64,broken clouds
188,Nanortalik,GL,60.1432,-45.2371,38.16,86,99,4.32,overcast clouds
189,Bathsheba,BB,13.2167,-59.5167,81.21,89,40,17.27,scattered clouds
190,Marsa Matruh,EG,31.3525,27.2453,64.18,87,9,17.13,clear sky
191,Pontes E Lacerda,BR,-15.2261,-59.3353,73.45,68,38,3.27,scattered clouds
192,Port Dover,CA,42.7834,-80.1997,43.23,57,2,4.79,clear sky
193,Kentville,CA,45.0835,-64.4988,40.41,96,100,14.07,overcast clouds
194,Santa Maria,BR,-29.6842,-53.8069,51.22,79,0,4.99,clear sky
195,Uspenskoye,RU,44.8311,41.3927,50.13,94,19,6.33,few clouds
196,Videira,BR,-27.0083,-51.1517,62.53,98,85,4.72,overcast clouds
197,Hadrut,AZ,39.52,47.0318,58.46,72,85,3.29,overcast clouds
198,Nsanje,MW,-16.92,35.262,62.94,94,4,0.47,clear sky
199,Umm Kaddadah,SD,13.6017,26.6876,80.83,13,52,5.59,broken clouds
200,Teguise,ES,29.0605,-13.564,61.02,77,20,14.97,few clouds
201,Carbonia,IT,39.1672,8.5222,52.45,81,8,4.81,clear sky
202,Rawson,AR,-43.3002,-65.1023,48.79,44,59,10.11,broken clouds
203,Novoorsk,RU,51.381,58.9813,48.87,64,64,10.31,broken clouds
204,Panaba,MX,21.2833,-88.2667,78.64,72,99,7.85,overcast clouds
205,Lagoa,PT,39.05,-27.9833,61.2,86,1,20.09,clear sky
206,Normandin,CA,48.8333,-72.5321,39.18,70,98,6.73,overcast clouds
207,Envira,BR,-7.3,-70.2167,77.0,82,78,1.66,moderate rain
208,Nantucket,US,41.2835,-70.0995,48.34,58,100,12.66,overcast clouds
209,Porto Walter,BR,-8.2686,-72.7439,73.45,96,100,2.06,heavy intensity rain
210,Inongo,CD,-1.95,18.2667,69.96,96,100,4.47,overcast clouds
211,Atar,MR,20.5169,-13.0499,77.54,16,54,10.04,broken clouds
212,Albany,US,42.6001,-73.9662,52.21,25,0,9.26,clear sky
213,Bereda,ES,43.2686,-7.5406,53.15,100,24,2.04,few clouds
214,Santa Fe,AR,-31.6333,-60.7,59.02,56,75,5.01,light rain
215,Barabinsk,RU,55.3571,78.357,56.1,55,98,8.21,overcast clouds
216,Aksarka,RU,66.5606,67.7975,19.6,88,86,13.02,overcast clouds
217,Lujan,AR,-34.5703,-59.105,51.94,76,0,4.38,clear sky
218,Mikhaylovskoye,RU,51.8239,79.7172,55.33,37,100,8.08,overcast clouds
219,Sur,OM,22.5667,59.5289,89.04,42,0,8.72,clear sky
220,Westport,US,41.1415,-73.3579,57.74,19,0,10.36,clear sky
221,Ravar,IR,31.2656,56.8055,75.45,25,74,6.38,broken clouds
222,Kharabali,RU,47.4196,47.2568,53.17,76,100,11.56,overcast clouds
223,Dingle,PH,10.9995,122.6711,81.91,80,93,7.63,overcast clouds
224,General Pico,AR,-35.6566,-63.7568,44.98,48,5,9.53,clear sky
225,Kirkwall,GB,58.9848,-2.9587,42.85,93,94,4.61,overcast clouds
226,Souillac,MU,-20.5167,57.5167,73.83,78,3,9.13,clear sky
227,Mabaruma,GY,8.2,-59.7833,74.89,96,78,2.8,broken clouds
228,Olavarria,AR,-36.8927,-60.3225,47.01,50,9,3.31,clear sky
229,Cabedelo,BR,-6.9811,-34.8339,75.87,77,100,7.87,overcast clouds
230,Vila Velha,BR,-20.3297,-40.2925,75.94,88,0,4.61,clear sky
231,Naryan-Mar,RU,67.6713,53.087,15.42,89,97,15.12,overcast clouds
232,Pisco,PE,-13.7,-76.2167,66.25,77,0,10.36,clear sky
233,Iquique,CL,-20.2208,-70.1431,62.64,74,7,4.16,clear sky
234,Gornyy,RU,55.1153,83.9059,54.57,58,100,7.87,overcast clouds
235,Victoria,HK,22.2855,114.1577,82.45,91,99,8.99,overcast clouds
